family,report,table,row,headers,cells
cc_v2,docs/benchmarks/cc_v2_report.md,1,1,"[""Method"", ""Source mean"", ""Source 80%"", ""Fresh mean"", ""Fresh 80%"", ""Fresh AURC""]","[""Proposed: SoG residual, combined risk"", ""2.821"", ""2.276"", ""4.719"", ""3.805"", ""3.392""]"
cc_v2,docs/benchmarks/cc_v2_report.md,1,2,"[""Method"", ""Source mean"", ""Source 80%"", ""Fresh mean"", ""Fresh 80%"", ""Fresh AURC""]","[""Strong matched C+: direct, combined risk"", ""2.196"", ""1.626"", ""5.662"", ""5.558"", ""5.562""]"
cc_v2,docs/benchmarks/cc_v2_report.md,1,3,"[""Method"", ""Source mean"", ""Source 80%"", ""Fresh mean"", ""Fresh 80%"", ""Fresh AURC""]","[""Standard C+: direct, context risk"", ""2.196"", ""1.781"", ""5.662"", ""5.601"", ""5.749""]"
cc_v2,docs/benchmarks/cc_v2_report.md,1,4,"[""Method"", ""Source mean"", ""Source 80%"", ""Fresh mean"", ""Fresh 80%"", ""Fresh AURC""]","[""V1 mixture, upgraded risk"", ""2.085"", ""1.562"", ""5.379"", ""4.829"", ""4.100""]"
cc_v2,docs/benchmarks/cc_v2_report.md,1,5,"[""Method"", ""Source mean"", ""Source 80%"", ""Fresh mean"", ""Fresh 80%"", ""Fresh AURC""]","[""V1 direct, upgraded risk"", ""2.166"", ""1.538"", ""5.966"", ""5.591"", ""5.091""]"
cc_v2,docs/benchmarks/cc_v2_report.md,1,6,"[""Method"", ""Source mean"", ""Source 80%"", ""Fresh mean"", ""Fresh 80%"", ""Fresh AURC""]","[""Statistics + HGB, combined risk (1 fit)"", ""2.243"", ""1.797"", ""6.876"", ""6.972"", ""6.723""]"
cc_v2,docs/benchmarks/cc_v2_report.md,1,7,"[""Method"", ""Source mean"", ""Source 80%"", ""Fresh mean"", ""Fresh 80%"", ""Fresh AURC""]","[""GW + ridge, combined risk (1 fit)"", ""2.980"", ""2.510"", ""4.558"", ""3.994"", ""4.276""]"
cc_v2,docs/benchmarks/cc_v2_report.md,1,8,"[""Method"", ""Source mean"", ""Source 80%"", ""Fresh mean"", ""Fresh 80%"", ""Fresh AURC""]","[""GW + ridge, cheap risk (ablation, 1 fit)"", ""2.980"", ""2.447"", ""4.558"", ""3.977"", ""4.190""]"
cc_v2,docs/benchmarks/cc_v2_report.md,1,9,"[""Method"", ""Source mean"", ""Source 80%"", ""Fresh mean"", ""Fresh 80%"", ""Fresh AURC""]","[""Gray World + frozen V1 selector"", ""4.592"", ""3.368"", ""6.166"", ""5.166"", ""3.828""]"
cc_v2,docs/benchmarks/cc_v2_report.md,1,10,"[""Method"", ""Source mean"", ""Source 80%"", ""Fresh mean"", ""Fresh 80%"", ""Fresh AURC""]","[""Max RGB + frozen V1 selector"", ""5.657"", ""3.352"", ""10.805"", ""9.188"", ""5.876""]"
cc_v2,docs/benchmarks/cc_v2_report.md,1,11,"[""Method"", ""Source mean"", ""Source 80%"", ""Fresh mean"", ""Fresh 80%"", ""Fresh AURC""]","[""Shades of Gray + frozen V1 selector"", ""3.573"", ""2.316"", ""6.481"", ""4.755"", ""3.640""]"
cc_v2,docs/benchmarks/cc_v2_report.md,1,12,"[""Method"", ""Source mean"", ""Source 80%"", ""Fresh mean"", ""Fresh 80%"", ""Fresh AURC""]","[""Gray Edge + frozen V1 selector"", ""3.887"", ""2.638"", ""6.841"", ""4.816"", ""3.808""]"
cc_v2,docs/benchmarks/cc_v2_report.md,1,13,"[""Method"", ""Source mean"", ""Source 80%"", ""Fresh mean"", ""Fresh 80%"", ""Fresh AURC""]","[""GW residual, combined (exploratory, 1 seed)"", ""2.993"", ""2.463"", ""4.229"", ""3.745"", ""3.381""]"
cc_v2,docs/benchmarks/cc_v2_report.md,2,1,"[""Accepted coverage"", ""Proposed"", ""Strong C+"", ""GW+ridge cheap"", ""SoG + learned selector""]","[""100%"", ""4.719"", ""5.662"", ""4.558"", ""6.481""]"
cc_v2,docs/benchmarks/cc_v2_report.md,2,2,"[""Accepted coverage"", ""Proposed"", ""Strong C+"", ""GW+ridge cheap"", ""SoG + learned selector""]","[""95%"", ""4.410"", ""5.575"", ""4.422"", ""5.944""]"
cc_v2,docs/benchmarks/cc_v2_report.md,2,3,"[""Accepted coverage"", ""Proposed"", ""Strong C+"", ""GW+ridge cheap"", ""SoG + learned selector""]","[""90%"", ""4.210"", ""5.571"", ""4.191"", ""5.486""]"
cc_v2,docs/benchmarks/cc_v2_report.md,2,4,"[""Accepted coverage"", ""Proposed"", ""Strong C+"", ""GW+ridge cheap"", ""SoG + learned selector""]","[""80%"", ""3.805"", ""5.558"", ""3.977"", ""4.755""]"
