dimension,group,people,n,mean,median,p90,p95,max,fraction_gt_5,fraction_gt_10,tail_count,fraction_of_global_tail,person_balanced_mean
patient,P01,1,19,4.011322852321322,4.09518786575495,5.693681670516456,6.8965105218579,8.34507192449608,0.2631578947368421,0.0,0,0.0,4.011322852321322
patient,P02,1,44,4.689620255110338,4.3991550957322385,7.653793260468107,9.254969191647698,13.479114769899834,0.4090909090909091,0.045454545454545456,2,0.04081632653061224,4.689620255110338
patient,P03,1,44,3.851789288267521,3.6736295449646117,6.202259947228423,6.309204873861552,9.243743849498676,0.22727272727272727,0.0,0,0.0,3.851789288267521
patient,P04,1,44,5.161716668334604,5.087654268352567,8.616540358863821,9.239435918984027,11.295158986107715,0.5454545454545454,0.022727272727272728,1,0.02040816326530612,5.161716668334604
patient,P05,1,43,4.844878852203825,4.3437116849747754,7.913576289593894,9.194288665866777,13.19279152175113,0.37209302325581395,0.046511627906976744,2,0.04081632653061224,4.844878852203825
patient,P06,1,44,3.724543161497713,3.339376255553047,6.096428180345355,6.735248790661364,11.224458895667752,0.18181818181818182,0.022727272727272728,1,0.02040816326530612,3.724543161497713
patient,P07,1,44,4.255935715540987,3.890077747401404,7.320454850641259,7.446656317692605,10.388532478897924,0.36363636363636365,0.022727272727272728,1,0.02040816326530612,4.255935715540987
patient,P08,1,44,3.0872059124418483,2.965487995939733,5.121058924754418,5.709153011487166,7.7982395558182365,0.11363636363636363,0.0,0,0.0,3.0872059124418483
patient,P09,1,44,4.0330132624820285,3.765186563204117,6.8654706146885625,7.597120023246684,7.9305141552699565,0.38636363636363635,0.0,0,0.0,4.0330132624820285
patient,P10,1,36,5.581710554628126,4.332252052748526,11.486852630280925,19.148413139004752,21.374734553677868,0.3055555555555556,0.1111111111111111,4,0.08163265306122448,5.581710554628126
patient,P11,1,39,4.559671628018161,3.8676884573739923,8.524064697380455,9.291189176343522,10.19112296527486,0.28205128205128205,0.02564102564102564,1,0.02040816326530612,4.559671628018161
patient,P12,1,44,10.722571840408245,10.4084404754126,15.87007433646198,17.476008361780522,18.76671735080459,0.9545454545454546,0.5681818181818182,24,0.4897959183673469,10.722571840408245
patient,P13,1,44,3.2095886052461364,2.9720382674144235,5.212016198580293,6.32848392455165,9.104055231624805,0.13636363636363635,0.0,0,0.0,3.2095886052461364
patient,P14,1,43,3.902637634055423,3.2954532175707842,6.907567720391594,9.73104638486757,10.374992746581846,0.27906976744186046,0.06976744186046512,2,0.04081632653061224,3.902637634055423
patient,P15,1,38,4.445737428931005,3.8829409590537045,7.701568883159102,8.66402444785421,9.528346304222904,0.39473684210526316,0.0,0,0.0,4.445737428931005
patient,P16,1,44,5.182073798886399,4.2635039560607035,8.972223865075938,10.043108612347881,13.523440844783044,0.4318181818181818,0.06818181818181818,2,0.04081632653061224,5.182073798886399
patient,P17,1,21,4.331849983996654,4.11305923247965,6.329675733024977,6.878195477301216,8.375056417467961,0.38095238095238093,0.0,0,0.0,4.331849983996654
patient,P18,1,44,4.1231404967425025,3.673178289069474,6.855022532104768,9.547768278702023,12.17553165628676,0.2727272727272727,0.045454545454545456,2,0.04081632653061224,4.1231404967425025
patient,P19,1,44,3.120004004336133,2.8621170054103233,4.852272183160225,5.104078181400743,5.686136491952089,0.09090909090909091,0.0,0,0.0,3.120004004336133
patient,P20,1,44,3.7166875795839953,3.082157449334032,6.538591912788729,7.108004686294196,14.175238763551286,0.18181818181818182,0.022727272727272728,1,0.02040816326530612,3.7166875795839953
patient,P21,1,44,4.222844676334403,3.8892622312043628,6.826966589660246,7.771687549588412,9.099310512996317,0.36363636363636365,0.0,0,0.0,4.222844676334403
patient,P22,1,23,3.31268086044106,3.1131871191795755,5.577651099740467,5.903962475085194,6.462461333961971,0.13043478260869565,0.0,0,0.0,3.31268086044106
patient,P23,1,44,6.500543107401075,6.092468177071712,9.369480794583822,10.941782639240092,16.933264830525516,0.6818181818181818,0.09090909090909091,3,0.061224489795918366,6.500543107401075
patient,P24,1,44,5.2748316579517525,4.510576270205917,9.310252875093116,10.191678289412225,14.195809919418156,0.4318181818181818,0.09090909090909091,3,0.061224489795918366,5.2748316579517525
site,S001,1,4,4.954799259384712,4.98300201940085,7.013717583519888,7.405978569669061,7.7982395558182365,0.5,0.0,0,0.0,4.954799259384712
site,S002,1,2,2.712685126158053,2.712685126158053,3.473624977346011,3.5687424587445054,3.6638599401430003,0.0,0.0,0,0.0,2.712685126158053
site,S003,1,4,6.79457110145973,7.0905301581996785,7.886490189058747,8.004602708700128,8.122715228341509,0.75,0.0,0,0.0,6.79457110145973
site,S004,1,4,4.607167916460311,4.611021645073044,6.150355556416345,6.374158462926764,6.597961369437184,0.5,0.0,0,0.0,4.607167916460311
site,S005,1,4,7.154086752748947,6.990692556085722,10.796752579674028,11.01060573767089,11.224458895667752,0.5,0.25,1,0.02040816326530612,7.154086752748947
site,S006,1,4,5.188711584729523,5.430035845539048,7.67277919042507,7.85888919808257,8.044999205740073,0.5,0.0,0,0.0,5.188711584729523
site,S007,1,4,2.8999347341132546,2.985042786587095,3.8643022340652027,3.9412811043830396,4.018259974700877,0.0,0.0,0,0.0,2.8999347341132546
site,S008,1,4,2.709104164889675,2.728383406677445,3.6278806333715803,3.790788450168398,3.953696266965217,0.0,0.0,0,0.0,2.709104164889675
site,S009,1,3,2.4403897353232153,2.616899311346406,2.679054038365067,2.6868233792423997,2.6945927201197324,0.0,0.0,0,0.0,2.4403897353232153
site,S010,1,4,2.4639374112273016,2.011876388353111,3.652686129662898,3.970666428797336,4.288646727931776,0.0,0.0,0,0.0,2.4639374112273016
site,S011,1,4,18.821188022386767,19.288278590344486,20.832717035481693,21.10372579457978,21.374734553677868,1.0,1.0,4,0.08163265306122448,18.821188022386767
site,S012,1,4,4.602287528781103,4.6306860344632845,6.804896007448538,6.886063656854305,6.967231306260073,0.5,0.0,0,0.0,4.602287528781103
